dia_sen,temperatura,precipitacion,precipitacion_bool,area_nieve,dias_sin_precip
0.8100248628547752,6.461488373,0.000471,0,0.0,1
0.8199717629247771,7.357180159,0.00128,0,38.45325257975486,2
0.8296770135526189,8.349505016,0.000426,0,375.3134494692793,3
0.8391377545563938,8.351161432,0.000862,0,422.1366529260155,4
0.848351197812304,8.827983635,0.00222,0,437.9061255927919,5
0.8573146280763322,8.758890069,0.047080883,0,437.6635183209953,6
0.8660254037844386,9.364516948,0.00128,0,437.6635183209953,7
0.8744809578310397,7.71642689,0.000435,0,440.3321983107575,8
0.8826787983255473,8.033094006,0.00129,0,440.3321983107575,9
0.8906165093267404,9.18900931,0.00173,0,437.9061255927919,10
0.8982917515547529,8.479286972,0.000435,0,440.9387164902489,11
0.9057022630804714,8.539659058,0.000852,0,433.175283792759,12
0.9128458599921356,9.353160746,0.00146,0,435.11614196713145,13
0.9197204370389466,10.11598195,0.00392,0,435.11614196713145,14
0.9263239682514948,9.84171158,0.0,0,435.11614196713145,15
0.9326545075388224,10.3441193,0.00128,0,416.1927747669997,16
0.9387101892619444,11.24065013,0.045636064,0,402.7280711822906,17
0.9444892287836611,9.915009794,0.000426,0,397.9972293822577,18
0.949989922994501,6.543979038,3.247742533,1,397.9972293822577,0
0.9552106508146316,7.108058581,0.528876212,1,398.2398366540542,0
0.9601498736716018,7.765285151,0.001836111,0,393.1450839463265,1
0.9648061359537646,8.295345556,0.583185381,1,393.1450839463265,0
0.9691780654392536,7.957486973,0.001789734,0,393.1450839463265,1
0.9732643737003824,8.838776892,0.093493287,0,392.4172621309368,2
0.9770638564833508,6.992572742,2.545417592,1,387.2012057873107,0
0.9805753940631428,6.849296101,0.390758637,1,380.0442912693122,0
0.9837979515735163,7.763735961,0.674655149,1,379.8016839975156,0
0.9867305793119814,6.433844428,9.880879672,1,381.7425421718881,0
0.9893724130196828,4.966818159,0.587730831,1,380.5295058129053,0
0.9917226741361016,5.758733002,0.047204766,0,380.5295058129053,1
0.9937806700284983,6.100230918,0.245161642,1,378.1034330949397,0
0.9955457941960382,6.514422734,0.003427011,0,378.1034330949397,1
0.9970175264485268,8.158426805,0.000864,0,378.1034330949397,2
0.998195433059714,6.308258885,0.00208,0,386.47338397192107,3
0.9990791668951152,4.847468611,0.168218452,1,386.47338397192107,0
0.999668467514313,6.020256867,0.174032132,1,386.47338397192107,0
0.99996316124771,6.987948411,0.048593979,0,459.25556551088926,1
0.99996316124771,7.920038494,0.00334,0,459.0129582390927,2
0.999668467514313,5.406845402,14.65165354,1,459.0129582390927,0
0.9990791668951152,2.910819169,4.257666189,1,459.0129582390927,0
0.998195433059714,2.755771561,4.618204177,1,459.0129582390927,0
0.9970175264485268,2.870344472,0.33177149,1,458.8916546031944,0
0.9955457941960382,6.450666024,0.000435114,0,458.4064400596013,1
0.9937806700284983,9.925005478,0.864802615,1,446.5186837415698,0
0.9917226741361016,7.939792639,15.75986623,1,433.6604983363521,0
0.9893724130196828,6.72462389,11.64316198,1,433.6604983363521,0
0.9867305793119816,6.258247272,1.908708522,1,433.6604983363521,0
0.9837979515735163,4.498189003,0.893544094,1,433.6604983363521,0
0.980575394063143,6.627585706,0.001472658,0,433.2965874286572,1
0.9770638564833508,6.523529826,0.010326961,0,433.2965874286572,2
0.9732643737003824,6.257061382,5.041333169,1,433.2965874286572,0
0.9691780654392536,7.136499124,2.995237311,1,431.477032890183,0
0.9648061359537646,5.908415412,21.77999474,1,431.477032890183,0
0.9601498736716018,4.698480357,0.507955668,1,431.477032890183,0
0.9552106508146316,6.57636057,0.129720763,1,431.477032890183,0
0.949989922994501,9.024308951,0.447047071,1,431.477032890183,0
0.9444892287836611,11.25318894,0.001716613,0,426.260976546557,1
0.9387101892619444,12.47618923,0.000426,0,404.0624111771717,2
0.9326545075388224,9.496032932,1.958593284,1,401.3937311874095,0
0.926323968251495,6.158192121,0.234607421,1,401.3937311874095,0
0.9197204370389468,9.708767805,0.001282139,0,401.3937311874095,1
0.9128458599921356,11.287121,0.00257,0,401.3937311874095,2
0.9057022630804716,9.020482805,1.213846581,1,401.3937311874095,0
0.8982917515547528,3.966003406,4.354116151,1,401.3937311874095,0
0.8906165093267405,4.510383967,0.19940315,1,401.3937311874095,0
0.8826787983255476,7.288880389,0.189167579,1,401.3937311874095,0
